HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
lasso,501,10000,STATIC,lasso,150,1.25,2.5,10000,501,lasso,150,1.25,2.5,10000,501,24.756588535575816
lasso,501,10000,STATIC,lasso,100,0.5,3.0,10000,501,lasso,100,0.5,3.0,10000,501,24.736408594901235
ols,501,10000,STATIC,ols,80,1.75,3.5,10000,501,ols,80,1.75,3.5,10000,501,24.668344496855497
ridge,501,10000,STATIC,ridge,80,1.75,3.5,10000,501,ridge,80,1.75,3.5,10000,501,24.66732771871454
bayesian,501,10000,STATIC,bayesian,80,1.5,4.0,10000,501,bayesian,80,1.5,4.0,10000,501,24.66130679427245
bayesian,501,10000,STATIC,bayesian,90,1.75,3.5,10000,501,bayesian,90,1.75,3.5,10000,501,24.639578192255183
bayesian,501,10000,STATIC,bayesian,90,1.75,4.0,10000,501,bayesian,90,1.75,4.0,10000,501,24.639578192255183
lasso,501,10000,STATIC,lasso,130,1.75,2.0,10000,501,lasso,130,1.75,2.0,10000,501,24.62606568999383
bayesian,501,10000,STATIC,bayesian,110,0.5,3.5,10000,501,bayesian,110,0.5,3.5,10000,501,24.58271719643529
bayesian,501,10000,STATIC,bayesian,110,0.5,4.0,10000,501,bayesian,110,0.5,4.0,10000,501,24.58271719643529
lasso,501,10000,STATIC,lasso,140,1.5,2.0,10000,501,lasso,140,1.5,2.0,10000,501,24.582629079921677
lasso,501,10000,STATIC,lasso,80,0.5,3.5,10000,501,lasso,80,0.5,3.5,10000,501,24.57935468152121
