ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,70,1.7000000000000002,3.25,10000,25.910491183146455
501,130,0.30000000000000004,3.25,10000,25.90350747554728
501,70,2.1,3.0,10000,25.895926767424974
501,70,1.7000000000000002,4.0,10000,25.755632687223073
501,70,1.7000000000000002,3.75,10000,25.755632687223073
501,130,1.7000000000000002,2.0,10000,25.733790966460994
501,130,0.1,3.25,10000,25.715110453481884
501,100,0.7000000000000001,3.0,10000,25.655084770917234
501,130,0.30000000000000004,3.0,10000,25.61770901812966
501,100,1.5000000000000002,2.75,10000,25.580841961980703
501,130,0.2,2.75,10000,25.516325880826983
501,130,1.4000000000000001,2.25,10000,25.450305354025197
501,130,0.1,3.0,10000,25.406303250090133
501,70,0.8,3.25,10000,25.32205507068906
501,100,1.8000000000000003,4.0,10000,25.303156088244066
501,100,1.8000000000000003,3.75,10000,25.303156088244066
501,100,1.8000000000000003,3.5,10000,25.303156088244066
501,70,1.7000000000000002,3.5,10000,25.300033102029506
501,100,2.1,2.75,10000,25.296338567318784
501,70,0.9,3.25,10000,25.291915513778903
501,70,0.8,4.0,10000,25.163131107991696
501,70,0.8,3.75,10000,25.163131107991696
501,130,1.3000000000000003,2.5,10000,25.149162443354683
501,70,0.9,3.75,10000,25.135682781190795
501,70,0.9,4.0,10000,25.135682781190795
501,130,0.4,2.5,10000,25.119904391607434
501,130,1.8000000000000003,2.0,10000,25.086855447213107
501,100,0.5,3.0,10000,25.02966873615953
501,100,1.4000000000000001,2.75,10000,25.0239653067918
501,100,1.8000000000000003,3.25,10000,24.922906395118222
501,100,2.0,2.75,10000,24.919021717204217
501,100,2.2,4.0,10000,24.868091576451082
501,100,2.2,3.75,10000,24.868091576451082
501,100,2.2,3.5,10000,24.868091576451082
501,70,0.8,3.5,10000,24.712911257367097
501,100,0.30000000000000004,2.75,10000,24.712120193032213
501,130,1.0,2.5,10000,24.71209947130567
501,70,0.9,3.5,10000,24.68952416100283
501,100,1.6,2.75,10000,24.66727180775247
501,130,0.30000000000000004,2.75,10000,24.562749333661557
501,130,2.2,2.25,10000,24.557651710512893
501,100,2.2,3.25,10000,24.49167429356581
501,130,0.1,2.75,10000,24.470464880848468
501,70,0.30000000000000004,3.25,10000,24.364442932709963
501,100,0.2,2.25,10000,24.281171624919146
501,100,0.8,3.75,10000,24.205738364391614
501,100,0.8,4.0,10000,24.205738364391614
501,100,0.8,3.5,10000,24.205738364391614
501,70,0.30000000000000004,4.0,10000,24.20331264214682
501,70,0.30000000000000004,3.75,10000,24.20331264214682
501,70,1.7000000000000002,3.0,10000,24.20089941860129
501,100,0.8,3.25,10000,23.821858564806135
501,100,0.6,3.0,10000,23.819350005742635
501,100,1.5000000000000002,2.5,10000,23.771629579658367
501,100,1.0,3.0,10000,23.758626292164443
501,100,0.30000000000000004,2.5,10000,23.736379063467098
501,70,0.30000000000000004,3.5,10000,23.72856586378908
501,100,1.2000000000000002,3.0,10000,23.68187820588969
501,100,0.1,2.25,10000,23.635545918400226
501,70,0.8,3.0,10000,23.634658130549504
501,70,0.9,3.0,10000,23.600314852138894
501,130,0.8,2.25,10000,23.592090186640952
501,70,0.1,3.25,10000,23.461940465321774
501,130,0.7000000000000001,2.25,10000,23.455430628352104
501,130,0.9,2.25,10000,23.330771122943652
501,130,2.4000000000000004,3.0,10000,23.313939900624813
501,70,0.1,4.0,10000,23.29994001876043
501,70,0.1,3.75,10000,23.29994001876043
501,100,1.4000000000000001,2.5,10000,23.12057046876101
501,70,1.1,3.25,10000,23.03300660955609
501,100,1.8000000000000003,3.0,10000,23.001767722725496
501,70,2.2,3.25,10000,22.963437802203348
501,100,1.7000000000000002,2.75,10000,22.92816275886099
501,70,2.0,2.75,10000,22.877465705252
501,70,1.1,3.75,10000,22.876200431475958
501,70,1.1,4.0,10000,22.876200431475958
501,70,0.1,3.5,10000,22.821664297113983
501,70,2.2,4.0,10000,22.814650945995666
501,70,2.2,3.75,10000,22.814650945995666
501,100,1.6,2.5,10000,22.73290951958164
501,70,0.30000000000000004,3.0,10000,22.72403112891027
501,130,2.3000000000000003,2.5,10000,22.718055512096306
501,130,1.2000000000000002,2.5,10000,22.50363718697748
501,130,1.5000000000000002,2.0,10000,22.47780148641959
501,100,1.3000000000000003,2.75,10000,22.461159762339072
501,100,0.9,4.0,10000,22.446875426543976
501,100,0.9,3.5,10000,22.446875426543976
501,100,0.9,3.75,10000,22.446875426543976
501,70,1.1,3.5,10000,22.43513703059945
501,130,0.5,2.25,10000,22.396725206460083
501,130,1.1,2.5,10000,22.32908930813386
501,70,2.2,3.5,10000,22.295926072425974
501,100,2.2,3.0,10000,22.26319741681132
501,100,0.9,3.25,10000,22.06594082745331
501,100,2.4000000000000004,4.0,10000,22.05765484653558
501,100,2.4000000000000004,3.5,10000,22.05765484653558
501,100,2.4000000000000004,3.75,10000,22.05765484653558
501,130,0.6,2.25,10000,21.97308029917218
501,100,0.7000000000000001,2.75,10000,21.951736202877996
501,70,0.1,3.0,10000,21.85865271946446
501,130,1.4000000000000001,2.0,10000,21.828963343278527
501,100,1.9000000000000001,2.75,10000,21.809170351239263
501,130,2.1,2.25,10000,21.792621687549378
501,70,1.9000000000000001,2.75,10000,21.73471936790898
501,100,0.4,2.25,10000,21.726141937762428
501,100,2.4000000000000004,3.25,10000,21.687893755462113
501,70,2.2,3.0,10000,21.68659205196287
501,100,1.1,3.5,10000,21.553510592073835
501,100,1.1,3.75,10000,21.553510592073835
501,100,1.1,4.0,10000,21.553510592073835
501,70,2.3000000000000003,3.25,10000,21.531387075220465
501,130,2.5000000000000004,4.0,10000,21.518290167593037
501,130,2.5000000000000004,3.75,10000,21.518290167593037
501,100,1.7000000000000002,2.5,10000,21.518080785787614
501,100,1.3000000000000003,2.5,10000,21.511067424497035
501,130,0.2,2.5,10000,21.467052845889988
501,100,0.8,3.0,10000,21.449805673950806
501,70,2.3000000000000003,3.75,10000,21.381204134375796
501,70,2.3000000000000003,4.0,10000,21.381204134375796
501,100,1.5000000000000002,2.25,10000,21.359583706999313
501,100,0.5,2.75,10000,21.33775871489179
501,70,1.1,3.0,10000,21.32526777546905
501,70,1.0,3.25,10000,21.295903860819955
501,100,1.1,3.25,10000,21.181279009107406
501,70,0.7000000000000001,3.25,10000,21.162263960640075
501,70,1.4000000000000001,3.25,10000,21.143249897283155
501,70,1.0,3.75,10000,21.139988685774114
501,70,1.0,4.0,10000,21.139988685774114
501,130,2.5000000000000004,3.5,10000,21.101675986130402
501,70,0.7000000000000001,4.0,10000,21.003526382334655
501,70,0.7000000000000001,3.75,10000,21.003526382334655
501,70,1.4000000000000001,4.0,10000,20.970455836609133
501,70,1.4000000000000001,3.75,10000,20.970455836609133
501,100,0.7000000000000001,2.5,10000,20.935791707627615
501,70,2.3000000000000003,3.5,10000,20.864543551258496
501,70,1.0,3.5,10000,20.697328623241603
501,130,0.1,2.5,10000,20.670668832240246
501,130,0.30000000000000004,2.5,10000,20.62880659700918
501,100,2.1,2.5,10000,20.628110902841623
501,70,1.3000000000000003,3.25,10000,20.57136868528451
501,70,0.7000000000000001,3.5,10000,20.551209433245766
501,70,1.4000000000000001,3.5,10000,20.50478273930937
501,70,1.3000000000000003,4.0,10000,20.399374949132188
501,70,1.3000000000000003,3.75,10000,20.399374949132188
501,100,1.0,2.75,10000,20.273106810036914
501,100,0.5,2.5,10000,20.249184495279387
501,70,2.3000000000000003,3.0,10000,20.23433797411796
501,100,1.2000000000000002,2.75,10000,20.168406138196424
501,100,0.6,2.75,10000,20.126126046425554
501,100,1.6,2.25,10000,20.003093678826236
501,130,2.4000000000000004,2.75,10000,19.97096003313849
501,70,1.3000000000000003,3.5,10000,19.931973215898694
501,70,0.2,3.25,10000,19.93159074911314
501,100,1.4000000000000001,2.25,10000,19.909626910676586
501,70,0.2,3.75,10000,19.769743169964528
501,70,0.2,4.0,10000,19.769743169964528
501,100,0.9,3.0,10000,19.703164291887923
501,70,1.0,3.0,10000,19.597287105504925
501,70,1.2000000000000002,3.25,10000,19.557864047377336
501,70,0.7000000000000001,3.0,10000,19.515052178169128
501,100,0.30000000000000004,2.25,10000,19.476209533947753
501,70,1.4000000000000001,3.0,10000,19.42096861638199
501,70,1.2000000000000002,4.0,10000,19.392496652286134
501,70,1.2000000000000002,3.75,10000,19.392496652286134
501,100,1.0,2.5,10000,19.34837352507637
501,100,2.3000000000000003,4.0,10000,19.308562063599837
501,100,2.3000000000000003,3.75,10000,19.308562063599837
501,100,2.3000000000000003,3.5,10000,19.308562063599837
501,70,0.2,3.5,10000,19.291586687464232
501,70,1.5000000000000002,3.25,10000,19.282175061911317
501,100,2.2,2.75,10000,19.27432875357145
501,130,0.8,2.0,10000,19.272823199946124
501,130,2.5000000000000004,3.25,10000,19.264876530911238
501,130,0.7000000000000001,2.0,10000,19.201030381070836
501,100,1.2000000000000002,2.5,10000,19.186319218579513
501,100,0.6,2.5,10000,19.11515783543721
501,70,1.5000000000000002,3.75,10000,19.11269601207629
501,70,1.5000000000000002,4.0,10000,19.11269601207629
501,100,1.8000000000000003,2.75,10000,19.106013710585827
501,70,2.1,2.75,10000,19.10267572350908
501,130,0.9,2.0,10000,18.95575709524128
501,100,1.1,3.0,10000,18.939498874666832
501,100,2.3000000000000003,3.25,10000,18.937450594211438
501,70,1.2000000000000002,3.5,10000,18.92041622962337
501,70,1.3000000000000003,3.0,10000,18.873300034326647
501,130,0.5,2.0,10000,18.69701544144599
501,70,1.5000000000000002,3.5,10000,18.65167174064814
501,130,0.4,2.25,10000,18.602792835613897
501,70,0.5,3.25,10000,18.50097694807107
501,130,2.4000000000000004,2.5,10000,18.39835349648338
501,100,0.2,2.0,10000,18.36629741643509
501,70,2.0,2.5,10000,18.34591241972063
501,70,0.5,4.0,10000,18.340293208109493
501,70,0.5,3.75,10000,18.340293208109493
501,70,0.2,3.0,10000,18.319195991787595
501,130,1.3000000000000003,2.25,10000,18.311572761329018
501,70,1.8000000000000003,2.75,10000,18.310354440020053
501,100,1.7000000000000002,2.25,10000,18.30993847067345
501,70,1.6,3.25,10000,18.286090807817118
501,70,1.7000000000000002,2.75,10000,18.230085575988248
501,100,2.4000000000000004,3.0,10000,18.189693749098566
501,100,2.5000000000000004,3.5,10000,18.14261294345823
501,100,2.5000000000000004,3.75,10000,18.14261294345823
501,100,2.5000000000000004,4.0,10000,18.14261294345823
501,70,2.5000000000000004,3.25,10000,18.135322114734336
501,70,1.6,3.75,10000,18.12040357848874
501,70,1.6,4.0,10000,18.12040357848874
501,70,2.5000000000000004,4.0,10000,17.98324685033444
501,70,2.5000000000000004,3.75,10000,17.98324685033444
501,70,1.2000000000000002,3.0,10000,17.884243142145422
501,70,0.5,3.5,10000,17.869552286154544
501,100,2.5000000000000004,3.25,10000,17.78420181662439
501,100,1.3000000000000003,2.25,10000,17.780924509557487
501,70,2.5000000000000004,3.5,10000,17.77888770088821
501,100,0.8,2.75,10000,17.75742174258869
501,130,1.0,2.25,10000,17.753846811033917
501,70,1.5000000000000002,3.0,10000,17.720739781520685
501,130,0.6,2.0,10000,17.689810566170777
501,70,1.6,3.5,10000,17.660925398147008
501,70,2.5000000000000004,3.0,10000,17.64164986389288
501,100,1.8000000000000003,2.5,10000,17.62577482996528
501,100,0.1,2.0,10000,17.428500889042752
501,70,1.9000000000000001,2.5,10000,17.11475518180047
501,70,0.8,2.75,10000,16.996616386780417
501,70,0.9,2.75,10000,16.983419917578424
501,100,2.0,2.5,10000,16.912317271951892
501,70,1.7000000000000002,2.5,10000,16.9014260749815
501,70,0.5,3.0,10000,16.868825983907264
501,100,1.9000000000000001,2.5,10000,16.84072028026309
501,100,0.7000000000000001,2.25,10000,16.81754240236571
501,70,0.6,3.25,10000,16.78183479435944
501,100,0.8,2.5,10000,16.742037163502125
501,70,0.6,3.75,10000,16.62280541376203
501,70,0.6,4.0,10000,16.62280541376203
501,70,1.6,3.0,10000,16.582467324109004
501,100,2.3000000000000003,3.0,10000,16.452648907495263
501,130,2.3000000000000003,2.25,10000,16.27442328212888
501,70,0.4,3.25,10000,16.2461979577813
501,100,2.1,2.25,10000,16.184555172692335
501,70,0.6,3.5,10000,16.168580798075276
501,70,0.4,3.75,10000,16.08617063114778
501,70,0.4,4.0,10000,16.08617063114778
501,100,1.5000000000000002,1.75,10000,16.038967936081043
501,100,0.9,2.75,10000,16.008183273518874
501,100,0.4,2.0,10000,16.00815243497886
501,100,0.5,2.25,10000,15.989852571961507
501,100,2.2,2.5,10000,15.872928570481637
501,70,0.8,2.5,10000,15.867738956110522
501,70,0.9,2.5,10000,15.856166627714622
501,100,1.5000000000000002,2.0,10000,15.796653849463553
501,70,0.4,3.5,10000,15.61367803483671
501,70,0.30000000000000004,2.75,10000,15.590796416155555
501,130,1.2000000000000002,2.25,10000,15.571013723800768
501,100,1.2000000000000002,2.25,10000,15.48697855214359
501,70,2.2,2.75,10000,15.422614246640276
501,100,1.1,2.75,10000,15.411744697779262
501,130,1.1,2.25,10000,15.36680516307834
501,130,1.6,1.75,10000,15.365734508073977
501,70,1.8000000000000003,2.5,10000,15.297133354655315
501,100,1.0,2.25,10000,15.172537827731915
501,70,0.6,3.0,10000,15.124806563435115
501,100,0.9,2.5,10000,15.030873664746878
501,100,0.6,2.25,10000,14.995139573915182
501,130,0.4,2.0,10000,14.928301954794605
501,130,0.2,2.25,10000,14.857823509169357
501,100,1.4000000000000001,1.75,10000,14.820522448628598
501,100,1.9000000000000001,2.25,10000,14.776659967262994
501,70,0.1,2.75,10000,14.756887083588289
501,70,0.30000000000000004,2.5,10000,14.730425578006596
501,130,1.4000000000000001,1.75,10000,14.618797318054952
501,70,0.4,3.0,10000,14.615236216100975
501,70,2.4000000000000004,3.25,10000,14.598176679934035
501,70,1.1,2.75,10000,14.569466784293574
501,100,1.4000000000000001,2.0,10000,14.514423909284702
501,100,1.1,2.5,10000,14.455172885518394
501,70,2.4000000000000004,4.0,10000,14.448478234812335
