ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
120,2.5,2.5,10.242301282083542
50,1.75,2.5,10.20982438744458
80,2.75,3.0,10.14752783549583
60,2.25,3.0,10.08405228768044
140,2.75,4.0,9.632036741038064
140,2.75,3.5,9.632036741038064
150,2.75,2.5,9.625534058067304
50,2.0,2.5,9.397697604369345
50,1.25,4.0,9.359290572615429
50,1.25,3.5,9.359290572615429
50,1.5,3.0,9.320602182604418
40,2.0,3.0,9.228560978922879
140,2.75,3.0,9.196062106970707
140,2.5,2.5,9.111837177157739
40,2.5,3.0,8.965646959826117
130,2.75,4.0,8.921029591043268
130,2.75,3.5,8.921029591043268
130,2.5,2.5,8.60313614138866
50,1.0,2.5,8.406568101390079
130,2.75,3.0,8.382665917852073
40,2.0,3.5,8.31897025103013
40,2.0,4.0,8.31897025103013
40,2.5,3.5,8.217009087662206
40,2.5,4.0,8.217009087662206
30,2.75,4.0,8.170067496998094
30,2.75,3.5,8.170067496998094
40,2.25,3.0,7.636343180591783
50,1.25,3.0,7.451072645315001
80,2.5,2.5,7.434149015991228
40,2.25,3.5,7.237762476989069
40,2.25,4.0,7.237762476989069
80,2.25,2.5,7.170073861866012
100,2.5,2.5,6.781756926674571
60,2.5,2.5,6.67027952833007
140,2.75,2.5,6.333402010317457
30,2.75,3.0,6.051136074881278
50,2.75,3.5,5.938314830875843
50,2.75,4.0,5.938314830875843
60,2.5,3.0,5.772423967391628
40,1.25,3.0,5.752695045099884
60,2.5,3.5,5.496677173193856
60,2.5,4.0,5.496677173193856
60,2.25,2.5,5.2571168613907915
30,2.25,4.0,5.195439690638196
30,2.25,3.5,5.195439690638196
30,2.0,4.0,4.907772360365328
30,2.0,3.5,4.907772360365328
40,1.25,3.5,4.858209503265726
40,1.25,4.0,4.858209503265726
30,2.5,2.5,4.637902915263016
40,0.75,3.0,4.637839697478654
60,2.75,4.0,4.5689094089543225
60,2.75,3.5,4.5689094089543225
50,0.25,3.5,4.526970966212225
50,0.25,4.0,4.526970966212225
50,2.25,4.0,4.5195700383230175
50,2.25,3.5,4.5195700383230175
30,2.25,3.0,4.47402264965223
30,2.0,3.0,4.161883500679171
40,1.5,2.5,4.0583969586899045
50,2.5,3.5,4.029194083645198
50,2.5,4.0,4.029194083645198
120,2.75,2.5,3.738146364180599
40,0.75,3.5,3.7311245299693283
40,0.75,4.0,3.7311245299693283
40,2.75,4.0,3.5389540529101566
40,2.75,3.5,3.5389540529101566
40,2.75,3.0,3.4528740629218753
50,1.5,2.5,3.4358391772402044
70,2.75,2.5,3.351777537776746
70,2.5,2.5,2.997009848866945
50,0.25,3.0,2.9140087099355725
130,2.75,2.5,2.519750464775999
50,1.25,2.5,2.5091082127285063
90,2.75,2.5,1.9014921539284089
40,1.75,2.5,1.8742617246359359
50,2.25,3.0,1.609157619049153
60,2.75,2.5,1.4333889032177698
30,1.75,4.0,1.0676714131947733
30,1.75,3.5,1.0676714131947733
30,1.5,4.0,0.9576555041627373
30,1.5,3.5,0.9576555041627373
