ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
601,10000,120,2.0,4.0,90,1.0,2.5,38.64457914768576
301,10000,120,1.5,4.0,120,1.5,3.0,38.6379572123624
501,10000,90,1.5,4.0,120,1.0,3.0,38.62375028056379
501,10000,90,1.5,3.5,120,1.0,3.0,38.62375028056379
301,10000,60,2.0,3.0,120,1.5,3.5,38.6092114767249
301,10000,60,2.0,3.0,120,1.5,4.0,38.6092114767249
601,10000,120,1.0,3.5,120,1.5,2.5,38.56368245973358
601,10000,120,1.0,4.0,90,1.0,2.5,38.525714759465025
501,10000,90,1.5,3.0,120,1.5,3.0,38.520801289973576
601,10000,120,2.0,3.5,90,1.0,2.5,38.51369536320357
601,10000,120,1.5,3.0,90,1.0,3.0,38.50909902166517
401,10000,120,1.5,3.0,120,1.0,3.0,38.46730450597294
401,10000,90,1.5,2.5,120,1.5,4.0,38.428515715480636
401,10000,90,1.5,2.5,120,1.5,3.5,38.428515715480636
601,10000,120,1.0,3.5,90,1.0,2.5,38.40944891348417
301,10000,120,1.5,3.5,120,1.5,3.0,38.408102483287934
401,10000,90,2.0,3.5,120,1.0,3.5,38.403270652927205
401,10000,90,2.0,4.0,120,1.0,4.0,38.403270652927205
401,10000,90,2.0,3.5,120,1.0,4.0,38.403270652927205
401,10000,90,2.0,4.0,120,1.0,3.5,38.403270652927205
401,10000,90,2.0,3.0,120,1.5,3.0,38.36510728934859
501,10000,120,1.5,4.0,120,1.0,2.5,38.33567609123629
401,10000,90,1.0,4.0,120,1.5,3.0,38.31012694775314
401,10000,90,1.0,3.5,120,1.5,3.0,38.31012694775314
